row_id,order_id ,created_at,quantity ,delivery ,item_id ,cust_id ,add_id ,rota_id,time_of_day,created_date,shift_id
25,ORD_00010,22:32:33,7,0,it013,77,77,r00001,Evening,2023-01-01,sh0014
26,ORD_00010,22:32:33,3,0,it007,77,77,r00001,Evening,2023-01-01,sh0014
27,ORD_00010,22:32:33,3,0,it032,77,77,r00001,Evening,2023-01-01,sh0014
28,ORD_00010,22:32:33,9,0,it001,77,77,r00001,Evening,2023-01-01,sh0014
29,ORD_00010,22:32:33,10,0,it016,77,77,r00002,Evening,2023-01-02,sh0002
30,ORD_00011,11:51:25,10,1,it036,165,165,r00002,Morning,2023-01-02,sh0001
31,ORD_00011,11:51:25,5,1,it002,165,165,r00002,Morning,2023-01-02,sh0001
32,ORD_00011,11:51:25,6,1,it012,165,165,r00002,Morning,2023-01-02,sh0001
33,ORD_00011,11:51:25,5,1,it006,165,165,r00002,Morning,2023-01-02,sh0001
34,ORD_00012,22:54:55,1,1,it025,129,129,r00002,Evening,2023-01-02,sh0002
35,ORD_00012,22:54:55,4,1,it022,129,129,r00002,Evening,2023-01-02,sh0002
36,ORD_00012,22:54:55,3,1,it028,129,129,r00002,Evening,2023-01-02,sh0002
37,ORD_00013,22:35:32,8,0,it018,123,123,r00002,Evening,2023-01-02,sh0002
38,ORD_00013,22:35:32,6,0,it005,123,123,r00002,Evening,2023-01-02,sh0002
39,ORD_00013,22:35:32,10,0,it016,123,123,r00002,Evening,2023-01-02,sh0002
40,ORD_00014,19:57:59,1,1,it004,220,220,r00002,Evening,2023-01-02,sh0002
41,ORD_00014,19:57:59,5,1,it003,220,220,r00002,Evening,2023-01-02,sh0002
42,ORD_00014,19:57:59,1,1,it003,220,220,r00003,Evening,2023-01-03,sh0004
43,ORD_00014,19:57:59,1,1,it006,220,220,r00003,Evening,2023-01-03,sh0004
44,ORD_00015,13:28:00,10,1,it017,147,147,r00003,Morning,2023-01-03,sh0003
45,ORD_00015,13:28:00,8,1,it014,147,147,r00003,Morning,2023-01-03,sh0003
46,ORD_00016,11:29:45,3,0,it012,295,295,r00003,Morning,2023-01-03,sh0003
47,ORD_00016,11:29:45,4,0,it001,295,295,r00003,Morning,2023-01-03,sh0003
48,ORD_00016,11:29:45,3,0,it016,295,295,r00003,Morning,2023-01-03,sh0003
49,ORD_00017,13:11:53,7,1,it003,202,202,r00003,Morning,2023-01-03,sh0003
50,ORD_00018,22:37:05,5,1,it028,193,193,r00003,Evening,2023-01-03,sh0004
51,ORD_00018,22:37:05,3,1,it036,193,193,r00003,Evening,2023-01-03,sh0004
52,ORD_00019,22:41:24,3,0,it023,30,30,r00003,Evening,2023-01-03,sh0004
53,ORD_00019,22:41:24,5,0,it033,30,30,r00003,Evening,2023-01-03,sh0004
54,ORD_00019,22:41:24,10,0,it010,30,30,r00003,Evening,2023-01-03,sh0004
55,ORD_00019,22:41:24,8,0,it023,30,30,r00003,Evening,2023-01-03,sh0004
56,ORD_00019,22:41:24,10,0,it009,30,30,r00003,Evening,2023-01-03,sh0004
57,ORD_00019,22:41:24,9,0,it016,30,30,r00003,Evening,2023-01-03,sh0004
58,ORD_00020,20:54:31,1,0,it029,50,50,r00003,Evening,2023-01-03,sh0004
59,ORD_00023,21:17:49,3,0,it018,23,23,r00004,Evening,2023-01-04,sh0006
60,ORD_00023,21:17:49,10,0,it030,23,23,r00004,Evening,2023-01-04,sh0006
61,ORD_00023,21:17:49,7,0,it037,23,23,r00004,Evening,2023-01-04,sh0006
62,ORD_00023,21:17:49,3,0,it030,23,23,r00004,Evening,2023-01-04,sh0006
63,ORD_00024,22:50:26,2,1,it002,201,201,r00004,Evening,2023-01-04,sh0006
64,ORD_00024,22:50:26,5,1,it004,201,201,r00004,Evening,2023-01-04,sh0006
65,ORD_00025,11:00:04,8,1,it021,30,30,r00004,Morning,2023-01-04,sh0005
66,ORD_00025,11:00:04,9,1,it037,30,30,r00004,Morning,2023-01-04,sh0005
67,ORD_00026,20:25:04,3,0,it026,40,40,r00004,Evening,2023-01-04,sh0006
68,ORD_00026,20:25:04,6,0,it002,40,40,r00004,Evening,2023-01-04,sh0006
69,ORD_00026,20:25:04,6,0,it037,40,40,r00004,Evening,2023-01-04,sh0006
70,ORD_00027,21:08:49,8,1,it004,151,151,r00004,Evening,2023-01-04,sh0006
71,ORD_00027,21:08:49,1,1,it011,151,151,r00004,Evening,2023-01-04,sh0006
72,ORD_00027,21:08:49,3,1,it010,151,151,r00004,Evening,2023-01-04,sh0006
73,ORD_00027,21:08:49,8,1,it012,151,151,r00004,Evening,2023-01-04,sh0006
74,ORD_00027,21:08:49,1,1,it026,151,151,r00004,Evening,2023-01-04,sh0006
75,ORD_00027,21:08:49,1,1,it036,151,151,r00004,Evening,2023-01-04,sh0006
76,ORD_00028,12:50:07,7,1,it035,187,187,r00004,Morning,2023-01-04,sh0005
77,ORD_00028,12:50:07,3,1,it008,187,187,r00004,Morning,2023-01-04,sh0005
78,ORD_00028,12:50:07,9,1,it003,187,187,r00004,Morning,2023-01-04,sh0005
79,ORD_00028,12:50:07,6,1,it036,187,187,r00004,Morning,2023-01-04,sh0005
80,ORD_00029,19:41:45,9,0,it009,146,146,r00004,Evening,2023-01-04,sh0006
81,ORD_00030,12:18:45,8,0,it019,265,265,r00004,Morning,2023-01-04,sh0005
82,ORD_00031,13:30:51,9,1,it027,221,221,r00004,Morning,2023-01-04,sh0005
83,ORD_00031,13:30:51,1,1,it025,221,221,r00004,Morning,2023-01-04,sh0005
84,ORD_00031,13:30:51,10,1,it030,221,221,r00005,Morning,2023-01-05,sh0007
85,ORD_00033,12:26:50,8,0,it027,148,148,r00005,Morning,2023-01-05,sh0007
86,ORD_00033,12:26:50,6,0,it032,148,148,r00005,Morning,2023-01-05,sh0007
87,ORD_00033,12:26:50,4,0,it014,148,148,r00005,Morning,2023-01-05,sh0007
88,ORD_00034,21:36:01,10,1,it036,248,248,r00005,Evening,2023-01-05,sh0008
89,ORD_00034,21:36:01,6,1,it014,248,248,r00005,Evening,2023-01-05,sh0008
90,ORD_00035,20:43:26,4,1,it013,22,22,r00005,Evening,2023-01-05,sh0008
91,ORD_00036,22:17:09,6,0,it029,24,24,r00005,Evening,2023-01-05,sh0008
92,ORD_00036,22:17:09,5,0,it036,24,24,r00005,Evening,2023-01-05,sh0008
93,ORD_00036,22:17:09,4,0,it029,24,24,r00005,Evening,2023-01-05,sh0008
94,ORD_00036,22:17:09,3,0,it032,24,24,r00005,Evening,2023-01-05,sh0008
95,ORD_00037,22:44:07,6,1,it008,114,114,r00005,Evening,2023-01-05,sh0008
96,ORD_00037,22:44:07,5,1,it002,114,114,r00005,Evening,2023-01-05,sh0008
97,ORD_00038,18:40:24,7,1,it014,65,65,r00005,Evening,2023-01-05,sh0008
98,ORD_00038,18:40:24,6,1,it015,65,65,r00005,Evening,2023-01-05,sh0008
99,ORD_00039,13:14:26,9,0,it022,249,249,r00005,Morning,2023-01-05,sh0007
100,ORD_00039,13:14:26,7,0,it037,249,249,r00005,Morning,2023-01-05,sh0007
101,ORD_00039,13:14:26,3,0,it031,249,249,r00005,Morning,2023-01-05,sh0007
102,ORD_00040,22:15:01,2,0,it010,114,114,r00005,Evening,2023-01-05,sh0008
103,ORD_00040,22:15:01,9,0,it008,114,114,r00005,Evening,2023-01-05,sh0008
104,ORD_00040,22:15:01,2,0,it006,114,114,r00005,Evening,2023-01-05,sh0008
105,ORD_00041,13:26:39,6,1,it028,53,53,r00005,Morning,2023-01-05,sh0007
106,ORD_00041,13:26:39,10,1,it020,53,53,r00005,Morning,2023-01-05,sh0007
107,ORD_00042,22:39:53,5,1,it002,259,259,r00005,Evening,2023-01-05,sh0008
108,ORD_00043,21:36:37,8,0,it020,230,230,r00005,Evening,2023-01-05,sh0008
109,ORD_00043,21:36:37,2,0,it009,230,230,r00005,Evening,2023-01-05,sh0008
110,ORD_00043,21:36:37,2,0,it033,230,230,r00005,Evening,2023-01-05,sh0008
111,ORD_00043,21:36:37,2,0,it003,230,230,r00005,Evening,2023-01-05,sh0008
112,ORD_00043,21:36:37,4,0,it002,230,230,r00005,Evening,2023-01-05,sh0008
113,ORD_00043,21:36:37,4,0,it008,230,230,r00005,Evening,2023-01-05,sh0008
114,ORD_00044,21:34:40,4,1,it012,237,237,r00005,Evening,2023-01-05,sh0008
115,ORD_00044,21:34:40,4,1,it013,237,237,r00005,Evening,2023-01-05,sh0008
116,ORD_00044,21:34:40,6,1,it009,237,237,r00005,Evening,2023-01-05,sh0008
117,ORD_00044,21:34:40,4,1,it009,237,237,r00005,Evening,2023-01-05,sh0008
118,ORD_00044,21:34:40,4,1,it027,237,237,r00005,Evening,2023-01-05,sh0008
119,ORD_00046,11:42:47,9,0,it036,83,83,r00005,Morning,2023-01-05,sh0007
120,ORD_00047,19:16:58,8,1,it013,204,204,r00005,Evening,2023-01-05,sh0008
121,ORD_00047,19:16:58,8,1,it032,204,204,r00005,Evening,2023-01-05,sh0008
122,ORD_00048,13:05:50,2,1,it037,14,14,r00005,Morning,2023-01-05,sh0007
123,ORD_00048,13:05:50,4,1,it028,14,14,r00005,Morning,2023-01-05,sh0007
124,ORD_00048,13:05:50,4,1,it021,14,14,r00005,Morning,2023-01-05,sh0007
125,ORD_00048,13:05:50,7,1,it023,14,14,r00005,Morning,2023-01-05,sh0007
126,ORD_00048,13:05:50,2,1,it024,14,14,r00005,Morning,2023-01-05,sh0007
127,ORD_00049,10:39:24,9,0,it029,225,225,r00005,Morning,2023-01-05,sh0007
128,ORD_00049,10:39:24,6,0,it005,225,225,r00005,Morning,2023-01-05,sh0007
129,ORD_00049,10:39:24,7,0,it002,225,225,r00005,Morning,2023-01-05,sh0007
130,ORD_00050,19:29:13,3,0,it013,202,202,r00005,Evening,2023-01-05,sh0008
131,ORD_00051,21:06:32,4,1,it015,80,80,r00005,Evening,2023-01-05,sh0008
132,ORD_00051,21:06:32,6,1,it008,80,80,r00005,Evening,2023-01-05,sh0008
133,ORD_00052,12:21:48,6,1,it030,276,276,r00005,Morning,2023-01-05,sh0007
134,ORD_00052,12:21:48,2,1,it032,276,276,r00005,Morning,2023-01-05,sh0007
135,ORD_00053,11:14:42,2,0,it015,180,180,r00005,Morning,2023-01-05,sh0007
136,ORD_00053,11:14:42,1,0,it003,180,180,r00005,Morning,2023-01-05,sh0007
137,ORD_00053,11:14:42,7,0,it002,180,180,r00005,Morning,2023-01-05,sh0007
138,ORD_00054,21:45:29,9,1,it036,58,58,r00005,Evening,2023-01-05,sh0008
139,ORD_00054,21:45:29,1,1,it031,58,58,r00005,Evening,2023-01-05,sh0008
140,ORD_00054,21:45:29,6,1,it002,58,58,r00005,Evening,2023-01-05,sh0008
141,ORD_00056,13:43:45,5,0,it031,6,6,r00005,Morning,2023-01-05,sh0007
142,ORD_00056,13:43:45,9,0,it007,6,6,r00005,Morning,2023-01-05,sh0007
143,ORD_00056,13:43:45,6,0,it029,6,6,r00005,Morning,2023-01-05,sh0007
144,ORD_00057,19:10:11,1,1,it012,173,173,r00005,Evening,2023-01-05,sh0008
145,ORD_00058,13:32:06,4,1,it020,292,292,r00005,Morning,2023-01-05,sh0007
146,ORD_00059,11:20:33,5,0,it012,226,226,r00005,Morning,2023-01-05,sh0007
147,ORD_00059,11:20:33,5,0,it034,226,226,r00005,Morning,2023-01-05,sh0007
148,ORD_00060,20:50:34,2,0,it004,109,109,r00005,Evening,2023-01-05,sh0008
149,ORD_00060,20:50:34,3,0,it034,109,109,r00005,Evening,2023-01-05,sh0008
150,ORD_00060,20:50:34,2,0,it018,109,109,r00005,Evening,2023-01-05,sh0008
151,ORD_00060,20:50:34,8,0,it022,109,109,r00005,Evening,2023-01-05,sh0008
152,ORD_00060,20:50:34,1,0,it026,109,109,r00005,Evening,2023-01-05,sh0008
153,ORD_00062,12:10:34,1,1,it032,102,102,r00005,Morning,2023-01-05,sh0007
154,ORD_00062,12:10:34,10,1,it029,102,102,r00005,Morning,2023-01-05,sh0007
155,ORD_00063,19:26:36,3,0,it017,223,223,r00005,Evening,2023-01-05,sh0008
156,ORD_00063,19:26:36,8,0,it021,223,223,r00005,Evening,2023-01-05,sh0008
157,ORD_00063,19:26:36,1,0,it030,223,223,r00005,Evening,2023-01-05,sh0008
158,ORD_00063,19:26:36,2,0,it005,223,223,r00005,Evening,2023-01-05,sh0008
159,ORD_00064,18:44:30,9,1,it025,121,121,r00006,Evening,2023-01-06,sh0010
160,ORD_00064,18:44:30,9,1,it015,121,121,r00006,Evening,2023-01-06,sh0010
161,ORD_00064,18:44:30,7,1,it007,121,121,r00006,Evening,2023-01-06,sh0010
162,ORD_00064,18:44:30,1,1,it034,121,121,r00006,Evening,2023-01-06,sh0010
163,ORD_00064,18:44:30,4,1,it020,121,121,r00006,Evening,2023-01-06,sh0010
164,ORD_00065,20:54:42,3,1,it023,52,52,r00006,Evening,2023-01-06,sh0010
165,ORD_00065,20:54:42,6,1,it033,52,52,r00006,Evening,2023-01-06,sh0010
166,ORD_00065,20:54:42,2,1,it014,52,52,r00006,Evening,2023-01-06,sh0010
167,ORD_00065,20:54:42,7,1,it024,52,52,r00006,Evening,2023-01-06,sh0010
168,ORD_00066,11:16:16,4,0,it003,269,269,r00006,Morning,2023-01-06,sh0009
169,ORD_00066,11:16:16,5,0,it001,269,269,r00006,Morning,2023-01-06,sh0009
170,ORD_00066,11:16:16,9,0,it002,269,269,r00006,Morning,2023-01-06,sh0009
171,ORD_00066,11:16:16,10,0,it036,269,269,r00006,Morning,2023-01-06,sh0009
172,ORD_00066,11:16:16,10,0,it019,269,269,r00006,Morning,2023-01-06,sh0009
173,ORD_00066,11:16:16,7,0,it004,269,269,r00006,Morning,2023-01-06,sh0009
174,ORD_00066,11:16:16,2,0,it030,269,269,r00006,Morning,2023-01-06,sh0009
175,ORD_00067,12:40:49,6,1,it006,269,269,r00006,Morning,2023-01-06,sh0009
176,ORD_00067,12:40:49,4,1,it036,269,269,r00006,Morning,2023-01-06,sh0009
177,ORD_00068,18:32:49,4,1,it033,269,269,r00006,Evening,2023-01-06,sh0010
178,ORD_00068,18:32:49,2,1,it007,269,269,r00006,Evening,2023-01-06,sh0010
179,ORD_00068,18:32:49,7,1,it018,269,269,r00006,Evening,2023-01-06,sh0010
180,ORD_00068,18:32:49,1,1,it021,269,269,r00006,Evening,2023-01-06,sh0010
181,ORD_00068,18:32:49,8,1,it016,269,269,r00006,Evening,2023-01-06,sh0010
182,ORD_00069,12:28:39,2,0,it004,19,19,r00006,Morning,2023-01-06,sh0009
183,ORD_00069,12:28:39,2,0,it008,19,19,r00006,Morning,2023-01-06,sh0009
184,ORD_00069,12:28:39,1,0,it028,19,19,r00006,Morning,2023-01-06,sh0009
185,ORD_00070,22:18:19,6,0,it027,42,42,r00006,Evening,2023-01-06,sh0010
186,ORD_00070,22:18:19,9,0,it033,42,42,r00006,Evening,2023-01-06,sh0010
187,ORD_00070,22:18:19,7,0,it007,42,42,r00006,Evening,2023-01-06,sh0010
188,ORD_00071,20:45:45,6,1,it037,42,42,r00006,Evening,2023-01-06,sh0010
189,ORD_00071,20:45:45,7,1,it009,42,42,r00006,Evening,2023-01-06,sh0010
190,ORD_00071,20:45:45,6,1,it027,42,42,r00006,Evening,2023-01-06,sh0010
191,ORD_00072,20:41:16,4,1,it001,269,269,r00006,Evening,2023-01-06,sh0010
192,ORD_00072,20:41:16,1,1,it028,269,269,r00006,Evening,2023-01-06,sh0010
193,ORD_00073,19:47:51,4,0,it030,269,269,r00006,Evening,2023-01-06,sh0010
194,ORD_00074,10:58:20,1,1,it011,69,69,r00006,Morning,2023-01-06,sh0009
195,ORD_00074,10:58:20,1,1,it024,69,69,r00006,Morning,2023-01-06,sh0009
196,ORD_00074,10:58:20,5,1,it031,69,69,r00006,Morning,2023-01-06,sh0009
197,ORD_00075,22:01:09,7,1,it034,69,69,r00006,Evening,2023-01-06,sh0010
198,ORD_00075,22:01:09,8,1,it003,69,69,r00006,Evening,2023-01-06,sh0010
199,ORD_00075,22:01:09,10,1,it008,69,69,r00006,Evening,2023-01-06,sh0010
200,ORD_00075,22:01:09,3,1,it037,69,69,r00006,Evening,2023-01-06,sh0010
201,ORD_00076,12:01:12,4,0,it012,69,69,r00006,Morning,2023-01-06,sh0009
202,ORD_00076,12:01:12,9,0,it004,69,69,r00006,Morning,2023-01-06,sh0009
203,ORD_00076,12:01:12,10,0,it007,69,69,r00006,Morning,2023-01-06,sh0009
204,ORD_00077,19:09:51,5,1,it008,69,69,r00006,Evening,2023-01-06,sh0010
205,ORD_00077,19:09:51,3,1,it036,69,69,r00006,Evening,2023-01-06,sh0010
206,ORD_00077,19:09:51,7,1,it031,69,69,r00006,Evening,2023-01-06,sh0010
207,ORD_00078,18:53:37,8,1,it017,69,69,r00006,Evening,2023-01-06,sh0010
208,ORD_00078,18:53:37,4,1,it001,69,69,r00006,Evening,2023-01-06,sh0010
209,ORD_00078,18:53:37,9,1,it011,69,69,r00006,Evening,2023-01-06,sh0010
210,ORD_00078,18:53:37,2,1,it027,69,69,r00006,Evening,2023-01-06,sh0010
211,ORD_00080,12:45:40,9,0,it017,69,69,r00006,Morning,2023-01-06,sh0009
212,ORD_00080,12:45:40,9,0,it017,69,69,r00006,Morning,2023-01-06,sh0009
213,ORD_00080,12:45:40,2,0,it034,69,69,r00006,Morning,2023-01-06,sh0009
214,ORD_00081,12:49:23,10,1,it019,69,69,r00006,Morning,2023-01-06,sh0009
215,ORD_00081,12:49:23,3,1,it032,69,69,r00006,Morning,2023-01-06,sh0009
216,ORD_00081,12:49:23,1,1,it034,69,69,r00006,Morning,2023-01-06,sh0009
217,ORD_00081,12:49:23,2,1,it031,69,69,r00006,Morning,2023-01-06,sh0009
218,ORD_00082,22:33:58,10,1,it036,69,69,r00006,Evening,2023-01-06,sh0010
219,ORD_00082,22:33:58,7,1,it023,69,69,r00006,Evening,2023-01-06,sh0010
220,ORD_00082,22:33:58,3,1,it025,69,69,r00006,Evening,2023-01-06,sh0010
221,ORD_00085,12:46:05,5,1,it036,69,69,r00006,Morning,2023-01-06,sh0009
222,ORD_00085,12:46:05,5,1,it023,69,69,r00006,Morning,2023-01-06,sh0009
223,ORD_00085,12:46:05,1,1,it021,69,69,r00006,Morning,2023-01-06,sh0009
224,ORD_00085,12:46:05,5,1,it021,69,69,r00007,Morning,2023-01-07,sh0011
225,ORD_00085,12:46:05,3,1,it003,69,69,r00007,Morning,2023-01-07,sh0011
226,ORD_00086,13:27:14,5,0,it030,69,69,r00007,Morning,2023-01-07,sh0011
227,ORD_00086,13:27:14,4,0,it016,69,69,r00007,Morning,2023-01-07,sh0011
228,ORD_00086,13:27:14,2,0,it009,69,69,r00007,Morning,2023-01-07,sh0011
229,ORD_00087,21:16:30,3,1,it030,69,69,r00007,Evening,2023-01-07,sh0012
230,ORD_00088,18:38:28,1,1,it006,4,4,r00007,Evening,2023-01-07,sh0012
231,ORD_00088,18:38:28,8,1,it016,4,4,r00007,Evening,2023-01-07,sh0012
232,ORD_00089,21:41:42,9,0,it015,4,4,r00007,Evening,2023-01-07,sh0012
233,ORD_00089,21:41:42,7,0,it019,4,4,r00007,Evening,2023-01-07,sh0012
234,ORD_00089,21:41:42,6,0,it034,4,4,r00007,Evening,2023-01-07,sh0012
235,ORD_00091,22:01:19,7,1,it033,4,4,r00007,Evening,2023-01-07,sh0012
236,ORD_00091,22:01:19,3,1,it013,4,4,r00007,Evening,2023-01-07,sh0012
237,ORD_00091,22:01:19,6,1,it029,4,4,r00007,Evening,2023-01-07,sh0012
238,ORD_00092,19:44:05,4,1,it022,4,4,r00007,Evening,2023-01-07,sh0012
239,ORD_00092,19:44:05,10,1,it022,4,4,r00007,Evening,2023-01-07,sh0012
240,ORD_00093,18:36:26,3,0,it028,4,4,r00007,Evening,2023-01-07,sh0012
241,ORD_00093,18:36:26,4,0,it026,4,4,r00007,Evening,2023-01-07,sh0012
242,ORD_00094,13:50:24,5,1,it017,4,4,r00007,Morning,2023-01-07,sh0011
243,ORD_00094,13:50:24,9,1,it022,4,4,r00007,Morning,2023-01-07,sh0011
244,ORD_00094,13:50:24,7,1,it017,4,4,r00007,Morning,2023-01-07,sh0011
245,ORD_00094,13:50:24,8,1,it003,4,4,r00007,Morning,2023-01-07,sh0011
246,ORD_00094,13:50:24,5,1,it027,4,4,r00007,Morning,2023-01-07,sh0011
247,ORD_00094,13:50:24,1,1,it007,4,4,r00007,Morning,2023-01-07,sh0011
248,ORD_00094,13:50:24,5,1,it013,4,4,r00007,Morning,2023-01-07,sh0011
249,ORD_00095,19:04:31,3,1,it016,4,4,r00007,Evening,2023-01-07,sh0012
250,ORD_00095,19:04:31,1,1,it019,4,4,r00007,Evening,2023-01-07,sh0012
251,ORD_00096,22:26:14,3,0,it006,4,4,r00007,Evening,2023-01-07,sh0012
252,ORD_00096,22:26:14,10,0,it035,4,4,r00007,Evening,2023-01-07,sh0012
253,ORD_00097,18:55:48,4,1,it026,4,4,r00007,Evening,2023-01-07,sh0012
254,ORD_00097,18:55:48,1,1,it010,4,4,r00007,Evening,2023-01-07,sh0012
255,ORD_00097,18:55:48,2,1,it017,4,4,r00007,Evening,2023-01-07,sh0012
256,ORD_00098,20:44:07,7,1,it016,4,4,r00007,Evening,2023-01-07,sh0012
257,ORD_00098,20:44:07,2,1,it001,4,4,r00007,Evening,2023-01-07,sh0012
258,ORD_00098,20:44:07,1,1,it017,4,4,r00007,Evening,2023-01-07,sh0012
259,ORD_00099,19:06:57,3,0,it029,4,4,r00007,Evening,2023-01-07,sh0012
260,ORD_00099,19:06:57,4,0,it021,4,4,r00007,Evening,2023-01-07,sh0012
261,ORD_00099,19:06:57,7,0,it010,4,4,r00007,Evening,2023-01-07,sh0012
262,ORD_00100,19:18:43,4,0,it001,4,4,r00007,Evening,2023-01-07,sh0012
263,ORD_00100,19:18:43,7,0,it001,4,4,r00007,Evening,2023-01-07,sh0012
264,ORD_00101,20:47:59,4,1,it012,4,4,r00007,Evening,2023-01-07,sh0012
265,ORD_00101,20:47:59,10,1,it002,4,4,r00007,Evening,2023-01-07,sh0012
266,ORD_00102,22:01:09,4,1,it009,4,4,r00007,Evening,2023-01-07,sh0012
267,ORD_00103,13:11:03,4,0,it023,7,7,r00007,Morning,2023-01-07,sh0011
268,ORD_00103,13:11:03,10,0,it031,7,7,r00007,Morning,2023-01-07,sh0011
269,ORD_00103,13:11:03,3,0,it010,7,7,r00007,Morning,2023-01-07,sh0011
270,ORD_00103,13:11:03,6,0,it034,7,7,r00007,Morning,2023-01-07,sh0011
271,ORD_00104,19:33:58,6,1,it021,7,7,r00007,Evening,2023-01-07,sh0012
272,ORD_00105,13:59:22,8,1,it019,154,154,r00007,Morning,2023-01-07,sh0011
273,ORD_00106,20:27:22,4,0,it034,149,149,r00007,Evening,2023-01-07,sh0012
274,ORD_00106,20:27:22,5,0,it037,149,149,r00007,Evening,2023-01-07,sh0012
275,ORD_00107,22:12:52,2,1,it017,149,149,r00007,Evening,2023-01-07,sh0012
276,ORD_00107,22:12:52,7,1,it003,149,149,r00007,Evening,2023-01-07,sh0012
277,ORD_00107,22:12:52,3,1,it005,149,149,r00007,Evening,2023-01-07,sh0012
278,ORD_00107,22:12:52,2,1,it016,149,149,r00007,Evening,2023-01-07,sh0012
279,ORD_00107,22:12:52,2,1,it014,149,149,r00007,Evening,2023-01-07,sh0012
280,ORD_00108,13:31:58,9,1,it018,149,149,r00007,Morning,2023-01-07,sh0011
281,ORD_00108,13:31:58,4,1,it022,149,149,r00007,Morning,2023-01-07,sh0011
282,ORD_00109,11:47:47,7,0,it010,149,149,r00007,Morning,2023-01-07,sh0011
283,ORD_00109,11:47:47,6,0,it028,149,149,r00007,Morning,2023-01-07,sh0011
284,ORD_00109,11:47:47,3,0,it032,149,149,r00007,Morning,2023-01-07,sh0011
285,ORD_00111,18:49:59,1,1,it019,149,149,r00007,Evening,2023-01-07,sh0012
286,ORD_00111,18:49:59,2,1,it008,149,149,r00007,Evening,2023-01-07,sh0012
287,ORD_00112,21:31:14,9,1,it004,149,149,r00008,Evening,2023-01-08,sh0014
288,ORD_00112,21:31:14,9,1,it006,149,149,r00008,Evening,2023-01-08,sh0014
289,ORD_00113,11:44:24,3,0,it013,149,149,r00008,Morning,2023-01-08,sh0013
290,ORD_00114,19:17:02,3,1,it012,50,50,r00008,Evening,2023-01-08,sh0014
291,ORD_00115,18:38:36,2,1,it035,50,50,r00008,Evening,2023-01-08,sh0014
292,ORD_00115,18:38:36,4,1,it009,50,50,r00008,Evening,2023-01-08,sh0014
293,ORD_00115,18:38:36,4,1,it019,50,50,r00008,Evening,2023-01-08,sh0014
294,ORD_00115,18:38:36,2,1,it020,50,50,r00008,Evening,2023-01-08,sh0014
295,ORD_00115,18:38:36,4,1,it035,50,50,r00008,Evening,2023-01-08,sh0014
296,ORD_00117,12:08:13,9,1,it003,50,50,r00008,Morning,2023-01-08,sh0013
297,ORD_00117,12:08:13,3,1,it009,50,50,r00008,Morning,2023-01-08,sh0013
298,ORD_00118,21:57:08,1,1,it008,50,50,r00008,Evening,2023-01-08,sh0014
299,ORD_00119,11:21:02,6,0,it028,241,241,r00008,Morning,2023-01-08,sh0013
300,ORD_00119,11:21:02,3,0,it033,241,241,r00008,Morning,2023-01-08,sh0013
301,ORD_00119,11:21:02,6,0,it009,241,241,r00008,Morning,2023-01-08,sh0013
